time,open,high,low,close,tick_volume,spread,real_volume
2026-07-21 13:50:00,4063.18,4066.26,4062.87,4064.77,984,8,0
2026-07-21 13:55:00,4064.77,4065.13,4062.38,4062.9,1047,9,0
2026-07-21 14:00:00,4062.87,4063.69,4056.15,4056.65,1440,9,0
2026-07-21 14:05:00,4056.65,4058.95,4055.41,4056.07,1182,8,0
2026-07-21 14:10:00,4056.05,4059.04,4055.9,4058.51,1019,13,0
2026-07-21 14:15:00,4058.48,4059.65,4057.92,4058.03,984,10,0
2026-07-21 14:20:00,4058.06,4059.36,4056.19,4059.33,1002,13,0
2026-07-21 14:25:00,4059.33,4059.75,4057.18,4058.01,1032,8,0
2026-07-21 14:30:00,4058.12,4059.62,4057.77,4058.78,1049,13,0
2026-07-21 14:35:00,4058.96,4061.13,4058.64,4059.91,1062,8,0
2026-07-21 14:40:00,4059.91,4060.07,4055.43,4056.01,1098,12,0
2026-07-21 14:45:00,4055.87,4057.84,4054.33,4057.83,827,9,0
2026-07-21 14:50:00,4057.61,4058.36,4055.63,4056.45,873,13,0
2026-07-21 14:55:00,4056.48,4057.03,4054.97,4055.96,831,10,0
2026-07-21 15:00:00,4056.06,4058.76,4055.62,4058.27,1548,8,0
2026-07-21 15:05:00,4058.29,4060.96,4058.08,4058.6,1528,8,0
2026-07-21 15:10:00,4058.6,4059.7,4056.24,4059.31,1210,8,0
2026-07-21 15:15:00,4059.31,4060.19,4055.73,4059.02,1540,8,0
2026-07-21 15:20:00,4059.01,4065.72,4057.76,4065.1,1778,8,0
2026-07-21 15:25:00,4065.1,4065.21,4060.65,4061.5,1904,10,0
2026-07-21 15:30:00,4061.56,4063.69,4059.03,4059.37,1943,8,0
2026-07-21 15:35:00,4059.37,4059.48,4053.66,4055.04,1779,8,0
2026-07-21 15:40:00,4055.04,4056.14,4050.98,4053.89,1779,8,0
2026-07-21 15:45:00,4053.89,4062.1,4053.56,4059.99,1472,8,0
2026-07-21 15:50:00,4060.01,4060.06,4055.31,4055.63,1690,8,0
2026-07-21 15:55:00,4055.65,4055.88,4052.77,4053.81,1438,8,0
2026-07-21 16:00:00,4053.79,4060.38,4053.72,4056.94,2644,8,0
2026-07-21 16:05:00,4056.97,4060.34,4056.97,4057.45,2005,8,0
2026-07-21 16:10:00,4057.45,4060.31,4056.73,4059.74,1591,7,0
2026-07-21 16:15:00,4059.74,4061.62,4054.57,4055.77,2006,8,0
2026-07-21 16:20:00,4055.77,4057.39,4051.68,4052.53,1883,8,0
2026-07-21 16:25:00,4052.53,4054.61,4050.3,4050.88,2307,7,0
2026-07-21 16:30:00,4050.84,4057.32,4047.62,4055.91,3360,7,0
2026-07-21 16:35:00,4055.79,4057.41,4050.96,4052.77,3232,7,0
2026-07-21 16:40:00,4052.75,4053.64,4044.61,4046.37,3270,8,0
2026-07-21 16:45:00,4046.4,4050.44,4044.44,4050.39,2914,8,0
2026-07-21 16:50:00,4050.41,4052.73,4046.17,4052.18,2623,7,0
2026-07-21 16:55:00,4052.18,4053.43,4049.68,4053.12,2541,10,0
